Company Name,Identifier,URL
Alfa Laval,ALI02,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/alfalavalindia/ALI02
Alfred Herbert,AHI,https://www.moneycontrol.com/india/stockpricequote/engineering/alfredherbertindia/AHI
Alivus Life,GLS01,https://www.moneycontrol.com/india/stockpricequote/alivuslife/alivuslifesciences/GLS01
Alka Secur,AS17,https://www.moneycontrol.com/india/stockpricequote/financegeneral/alkasecurities/AS17
Alkosign,A20,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alkosign/A20
All Metal Proc,AMP,https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/allmetalprocessindustries/AMP
Allcargo Gati,G04,https://www.moneycontrol.com/india/stockpricequote/allcargogati/allcargogati/G04
Alliance Capita,ACF01,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/alliancecapitalfinancialservices/ACF01
Alliance Integ,AIM,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/allianceintegratedmetaliks/AIM
Allied Digital,ADS01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/allieddigitalservices/ADS01
Almondz Global,AGS,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/almondzglobalsecurities/AGS
Alora Trading,ATC03,https://www.moneycontrol.com/india/stockpricequote/trading/aloratradingcompanylimited/ATC03
Alpex Solar,ASL10,https://www.moneycontrol.com/india/stockpricequote/alpexsolar/alpexsolar/ASL10
Alpha Hi-Tech,AHT,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alphahitechfuel/AHT
Alphalogic Ind,AI85,https://www.moneycontrol.com/india/stockpricequote/engineeringindustrialequipments/alphalogicindustries/AI85
Alpine Capital,ACS,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/alpinecapitalservices/ACS
Alps Industries,AI12,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/alpsindustries/AI12
Alps Motor Fin,AMF03,https://www.moneycontrol.com/india/stockpricequote/financegeneral/alpsmotorfinance/AMF03
Alstone Text,SH14,https://www.moneycontrol.com/india/stockpricequote/alstonetext/alstonetextiles/SH14
Alufluoride,A01,https://www.moneycontrol.com/india/stockpricequote/chemicals/alufluoride/A01
Alumilite Archi,AAL01,https://www.moneycontrol.com/india/stockpricequote/trading/alumilitearchitecturals/AAL01
AM Febcon,F03,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amfebcon/F03
AMAL-RE,AR11,https://www.moneycontrol.com/india/stockpricequote/amalre/amalre/AR11
Amanaya Venture,AV03,https://www.moneycontrol.com/india/stockpricequote/amanayaventure/amanayaventures/AV03
Amar Remedies,AR07,https://www.moneycontrol.com/india/stockpricequote/personalcare/amarremedies/AR07
Amarjothi Spin,ASM01,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/amarjothispinningmills/ASM01
Amba Enterprise,AE18,https://www.moneycontrol.com/india/stockpricequote/electricequipment/ambaenterprises/AE18
Ambe Hotel,AHR02,https://www.moneycontrol.com/india/stockpricequote/hotels/ambehotelresorts/AHR02
Ambica Agar,AA9,https://www.moneycontrol.com/india/stockpricequote/ambicaagar/ambicaagarbathiesaromaindustries/AA9
Ambika Silk,ASM05,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/ambikasilkmillsco/ASM05
Ambo Agritec,AA17,https://www.moneycontrol.com/india/stockpricequote/consumerfood/amboagritec/AA17
Ambuja Cements,AC18,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
Ambuja Shipping,ASS,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/ambujashippingsoftware/ASS
AMD Industries,AMD02,https://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02
American Remedy,AR03,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/americanremedies/AR03
Amex Carbonates,ACC01,https://www.moneycontrol.com/india/stockpricequote/chemicals/amexcarbonateschemicals/ACC01
Ami Computers,ACI04,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/amicomputersindia/ACI04
AMIC Forging,AFL02,https://www.moneycontrol.com/india/stockpricequote/autoancillariescastingsforgings/amicforging/AFL02
Amines Plast,AP07,https://www.moneycontrol.com/india/stockpricequote/chemicals/aminesplasticizers/AP07
Amit Intern,AI15,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/amitinternational/AI15
AMJ Land,PPP,https://www.moneycontrol.com/india/stockpricequote/paper/amjland/PPP
Ammana Bio,ABP,https://www.moneycontrol.com/india/stockpricequote/chemicals/ammanabiopharma/ABP
Amrapali Cap,ACF05,https://www.moneycontrol.com/india/stockpricequote/financegeneral/amrapalicapitalfinanceservices/ACF05
Amrapali Ind,AI16,https://www.moneycontrol.com/india/stockpricequote/trading/amrapaliindustries/AI16
Amrit Corp,AC20,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/amritcorporation/AC20
Amrutanjan Heal,AHC01,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/amrutanjanhealthcare/AHC01
Amsons Apparels,AA09,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/amsonsapparels/AA09
Amzel Auto,AA03,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amzelautomotive/AA03
Anand Cotspin,AC04,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/anandcotspin/AC04
Anand Rathi,ARW,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/anandrathiwealth/ARW
Anco Comm,AC05,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/ancocommunications/AC05
Andhra Cement,AC16,https://www.moneycontrol.com/india/stockpricequote/cementmajor/andhracement/AC16
Andhra Pradesh,APS01,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/andhrapradeshscooters/APS01
ANDHRSUGAR,AS18,https://www.moneycontrol.com/india/stockpricequote/andhrsugar/theandhrasugar/AS18
Aneri Fincap,FI02,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/anerifincap/FI02
Angel Fibers,AF10,https://www.moneycontrol.com/india/stockpricequote/textilescottonblended/angelfibers/AF10
Anik Industries,AI57,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/anikindustries/AI57
Anik Steels,AS05,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/aniksteels/AS05
Anirit Ventures,FT01,https://www.moneycontrol.com/india/stockpricequote/aniritventures/aniritventures/FT01
Anjani Portland,APC,https://www.moneycontrol.com/india/stockpricequote/anjaniportland/anjaniportlandcement/APC
Anka Ind,AI41,https://www.moneycontrol.com/india/stockpricequote/plastics/ankaindia/AI41
Ankuj Zinc-Oxid,AZO,https://www.moneycontrol.com/india/stockpricequote/chemicals/ankujzincoxide/AZO
Anlon Tech,ATS01,https://www.moneycontrol.com/india/stockpricequote/engineering/anlontechnologysolutions/ATS01
Anmol India,AI81,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/anmolindia/AI81
Annapurna Swa,AS28,https://www.moneycontrol.com/india/stockpricequote/consumerfood/annapurnaswadisht/AS28
Ansal Buildwell,AB11,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ansalbuildwell/AB11
Antarctica,A16,https://www.moneycontrol.com/india/stockpricequote/printingstationery/antarctica/A16
Anugraha Wood,AWP,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/anugrahawoodproducts/AWP
Anup Eng,ANUP54246,https://www.moneycontrol.com/india/stockpricequote/anupeng/theanupengineering/ANUP54246
Anupam Rasayan,ARI02,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/anupamrasayanindia/ARI02
Anus Labs,AL12,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/anuslaboratories/AL12
Anya Polytech,APF02,https://www.moneycontrol.com/india/stockpricequote/packagingpackagingmaterials/anyapolytechfertilizers/APF02
AONELIQUID,AONEL30472,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aoneliquid/AONEL30472
Ap Tanneries,APT,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/aptanneries/APT
Apcotex Ind,AI58,https://www.moneycontrol.com/india/stockpricequote/rubber/apcotexindustries/AI58
Apex Capital An,AHFL541133,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/apexcapitalandfinance/AHFL541133
Apis India,AI65,https://www.moneycontrol.com/india/stockpricequote/apisindia/apisindia/AI65
Aplab,A02,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/aplab/A02
APM Industries,APM,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/apmindustries/APM
Apollo Micro Sy,AMS,https://www.moneycontrol.com/india/stockpricequote/apollomicrosy/apollomicrosystems/AMS
Apollo Steel,ATS,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/apollotubessteelindustries/ATS
Apollo Tyres,AT14,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
Apple Credit,ACC03,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/applecreditcorporation/ACC03
APR,APR,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/apr/APR
APS-Star Ind,APS,https://www.moneycontrol.com/india/stockpricequote/textilesmachinery/apsstarindustries/APS
Aptus Ind,AI66,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/aptusindustries/AI66
Aqualand India,AIL02,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aqualandindia/AIL02
Arambhan,CBC,https://www.moneycontrol.com/india/stockpricequote/hotels/arambhanhospitality/CBC
Aravali Sec,ASF01,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aravalisecuritiesfinance/ASF01
ARCFIN-RE,AFR01,https://www.moneycontrol.com/india/stockpricequote/arcfinre/arcfinancere/AFR01
Archidply Decor,ADL,https://www.moneycontrol.com/india/stockpricequote/archidplydecor/archidplydecor/ADL
Archit Nuwood,ANI01,https://www.moneycontrol.com/india/stockpricequote/trading/architnuwoodindustries/ANI01
Arco Leasing,ALL,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/arcoleasing/ALL
Ardi Investment,AIT02,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ardiinvestmentstradingcompany/AIT02
Arham Fiscal,AF24,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/arhamfiscal/AF24
Arhat Ind,AI35,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/arhatindustries/AI35
Arihant Academy,AA18,https://www.moneycontrol.com/india/stockpricequote/educationalinstitutions/arihantacademy/AA18
Arihant Classic,ACF04,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/arihantclassicfinance/ACF04
Arihant Enter,AE08,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/arihantenterprises/AE08
Arihant Institu,AI78,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arihantinstitute/AI78
Arihant Thermo,AT07,https://www.moneycontrol.com/india/stockpricequote/plastics/arihantthermoware/AT07
Aris Int,AI69,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arisinternational/AI69
Arkade Develop,ADL02,https://www.moneycontrol.com/india/stockpricequote/constructionrealestate/arkadedevelopers/ADL02
ARM Polymers,ARM,https://www.moneycontrol.com/india/stockpricequote/packaging/armpolymers/ARM
Arman Holdings,AH9,https://www.moneycontrol.com/india/stockpricequote/armanholdings/armanholdings/AH9
Aro Granite,AGI01,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01
Arora Fibres,AF13,https://www.moneycontrol.com/india/stockpricequote/textilesmanmade/arorafibres/AF13
Arrow Greentech,ACP,https://www.moneycontrol.com/india/stockpricequote/plastics/arrowgreentech/ACP
Arshiya,AI60,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/arshiya/AI60
Artech Power,APP02,https://www.moneycontrol.com/india/stockpricequote/electricequipment/artechpowerproducts/APP02
Artemis Elect,AE22,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/artemiselectricalsprojects/AE22
Artificial Elec,DAS,https://www.moneycontrol.com/india/stockpricequote/artificialelec/artificialelectronicsintelligentmaterial/DAS
Arun Mantex,AM05,https://www.moneycontrol.com/india/stockpricequote/packaging/arunmantex/AM05
Aruna Hotels,AH06,https://www.moneycontrol.com/india/stockpricequote/hotels/arunahotels/AH06
Arunjyoti Bio,CP02,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/arunjyotibioventures/CP02
Arvee Lab,AL18,https://www.moneycontrol.com/india/stockpricequote/arveelab/arveelaboratories/AL18
Arvind Fas-RE,AFR,https://www.moneycontrol.com/india/stockpricequote/arvindfasre/arvindfashionsre/AFR
Arvind Polycot,AP15,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/arvindpolycot/AP15
Arvind Rashayan,ARU,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/arvindrashayanaudyog/ARU
ARVINDF-RE,ARVIN19079,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfre/ARVIN19079
Aryan Finefab,AF14,https://www.moneycontrol.com/india/stockpricequote/textilescompositemills/aryanfinefab/AF14
AS SBL,ARYAN54217,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aryansharestockbrokerslt/ARYAN54217
Asahi Infra,AIA,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/asahiinfrastructureandprojects/AIA
ascaps,RGI02,https://www.moneycontrol.com/india/stockpricequote/ascaps/ascapssdpocdpcsdpsd/RGI02
Ascent Exim,ACF02,https://www.moneycontrol.com/india/stockpricequote/trading/ascenteximindia/ACF02
Aseem Global,AG02,https://www.moneycontrol.com/india/stockpricequote/trading/aseemglobal/AG02
Ashapura Logist,ALL04,https://www.moneycontrol.com/india/stockpricequote/logistics/ashapuralogistics/ALL04
Ashari Agencies,AA10,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ashariagencies/AA10
Ashiana Agro,AAI04,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/ashianaagroindustries/AAI04
Ashika Credit,ACC07,https://www.moneycontrol.com/india/stockpricequote/financegeneral/ashikacreditcapital/ACC07
Ashirwad Steel,ASI,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/ashirwadsteelindustries/ASI
Ashnisha Indust,ASHNI54170,https://www.moneycontrol.com/india/stockpricequote/ashnishaindust/ashnishaindustrieslimited/ASHNI54170
Ashok Fashions,AF16,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/ashokfashions/AF16
Ashoka Buildcon,AB,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB
